医疗机构名称,本地机构编码,医保区划,机构类别,医院等级,联系地址
北京市平谷区马昌营镇东陈各庄村卫生室,17106809,平谷区,村卫生室,无等级,北京市平谷区马昌营镇东陈各庄南街5号
北京市平谷区大兴庄镇陈良屯村卫生室,17106768,平谷区,村卫生室,无等级,北京市平谷区大兴庄镇陈良屯村北街23号
北京市平谷区平谷镇北台头村卫生室,17106721,平谷区,村卫生室,无等级,北京市平谷区平谷镇北台头大街159号
北京市平谷区平谷镇平安街村卫生室,17106715,平谷区,村卫生室,无等级,北京市平谷区平谷镇平安街安乐街9号
北京市平谷区大兴庄镇唐庄子村卫生室,17106769,平谷区,村卫生室,无等级,北京市平谷区大兴庄镇唐庄子村北街175号
北京市平谷区平谷镇和平街村卫生室,17106717,平谷区,村卫生室,无等级,北京市平谷区平谷镇新平北路19号老年活动站院内
北京市平谷区平谷镇下纸寨村卫生室,17106719,平谷区,村卫生室,无等级,北京市平谷区平谷镇下纸寨东路5号
北京市平谷区大兴庄镇东柏店村卫生室,17106772,平谷区,村卫生室,无等级,北京市平谷区大兴庄镇东柏店村东路11号
北京市平谷区平谷镇岳各庄村卫生室,17106718,平谷区,村卫生室,无等级,北京市平谷区平谷镇岳各庄双河路9号
北京市平谷区马昌营镇后芮营村卫生室,17106815,平谷区,村卫生室,无等级,北京市平谷区马昌营镇后芮营村委会对面公园内
北京市平谷区大兴庄镇东石桥村卫生室,17106771,平谷区,村卫生室,无等级,北京市平谷区大兴庄镇东石桥村北小街
北京市平谷区马昌营镇北定福村卫生室,17106814,平谷区,村卫生室,无等级,北京市平谷区马昌营镇北定福路7号
北京市平谷区马昌营镇魏辛庄村卫生室,17106816,平谷区,村卫生室,无等级,北京市平谷区马昌营镇魏辛庄村西老村委会院内
北京市平谷区夏各庄镇大岭后村卫生室,17106744,平谷区,村卫生室,无等级,北京市平谷区夏各庄镇大岭后村委会院内
北京市平谷区夏各庄镇纪太务村卫生室,17106742,平谷区,村卫生室,无等级,北京市平谷区夏各庄镇纪太务村东小公园阳光浴室西侧
北京市平谷区夏各庄镇王都庄村卫生室,17106743,平谷区,村卫生室,无等级,北京市平谷区夏各庄镇王都庄村南配电室西20米
北京市平谷区夏各庄镇稻地村卫生室,17106740,平谷区,村卫生室,无等级,北京市平谷区夏各庄镇杨稻路高速口南200米
北京市平谷区夏各庄镇张各庄村卫生室,17106739,平谷区,村卫生室,无等级,北京市平谷区夏各庄镇张各庄村委会东侧小公园内
北京市平谷区夏各庄镇杨各庄村卫生室,17106741,平谷区,村卫生室,无等级,北京市平谷区夏各庄镇杨各庄大槐树西南角
北京市平谷区大华山镇李家峪村卫生室,17106765,平谷区,村卫生室,无等级,北京市平谷区大华山镇李家峪李家台26号
北京市平谷区大华山镇梯子峪村卫生室,17106754,平谷区,村卫生室,无等级,北京市平谷区大华山镇梯子峪村委会院内
北京市平谷区镇罗营镇清水湖村卫生室,17106707,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇清水湖村53号
北京市平谷区镇罗营镇北水峪村卫生室,17106703,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇北水峪村17号
北京市平谷区大华山镇西牛峪村卫生室,17106760,平谷区,村卫生室,无等级,北京市平谷区大华山镇西牛峪60号
北京市平谷区王辛庄镇大辛寨村卫生室,17106730,平谷区,村卫生室,无等级,北京市平谷区王辛庄镇大辛寨村北街临36-1前
北京市平谷区镇罗营镇见子庄村卫生室,17106705,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇见子庄村88号
北京市平谷区镇罗营镇大庙峪村卫生室,17106710,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇大庙峪村88号
北京市平谷区黄松峪乡梨树沟村卫生室,17106784,平谷区,村卫生室,无等级,北京市平谷区黄松峪乡梨树沟村王家台7号
北京市平谷区镇罗营镇东牛角峪村卫生室,17106702,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇东牛角峪村文化大院内
北京市平谷区大华山镇山门沟村卫生室,17106761,平谷区,村卫生室,无等级,北京市平谷区大华山镇山门沟村8号
北京市平谷区镇罗营镇西寺峪村卫生室,17106711,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇西寺峪村一队大场
北京市平谷区镇罗营镇下营村卫生室,17106709,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇下营街67甲1号
北京市平谷区镇罗营镇季家沟村卫生室,17106712,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇季家沟村60号
北京市平谷区大华山镇麻子峪村卫生室,17106762,平谷区,村卫生室,无等级,北京市平谷区大华山镇麻子峪村4号
北京市平谷区黄松峪乡白云寺村卫生室,17106785,平谷区,村卫生室,无等级,北京市平谷区黄松峪乡白云寺村南口37号东侧
北京市平谷区王辛庄镇东杏园村卫生室,17106737,平谷区,村卫生室,无等级,北京市平谷区王辛庄镇东杏园村北街15号
北京市平谷区黄松峪乡塔洼村卫生室,17106783,平谷区,村卫生室,无等级,北京市平谷区黄松峪乡塔洼村李家台路9号东侧
北京市平谷区镇罗营镇北四道岭村卫生室,17106713,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇北四道岭村55号
北京市平谷区镇罗营镇核桃洼村卫生室,17106704,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇核桃洼村53号
北京市平谷区镇罗营镇张家台村卫生室,17106706,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇张家台村委会院内
北京市平谷区大华山镇砖瓦窑村卫生室,17106763,平谷区,村卫生室,无等级,北京市平谷区大华山镇砖瓦窑村
北京市平谷区镇罗营镇东四道岭村卫生室,17106714,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇东四道岭村9号
北京市平谷区大华山镇瓦官头村卫生室,17106758,平谷区,村卫生室,无等级,北京市平谷区大华山镇瓦官头村委会院内8号
北京市平谷区大华山镇陈庄子村卫生室,17106756,平谷区,村卫生室,无等级,北京市平谷区大华山镇陈庄子路3号
北京市平谷区大华山镇泉水峪村卫生室,17106759,平谷区,村卫生室,无等级,北京市平谷区大华山镇泉水峪村委会院内238号
北京市平谷区镇罗营镇东寺峪村卫生室,17106701,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇东寺峪村16号
北京市平谷区镇罗营镇桃园村卫生室,17106708,平谷区,村卫生室,无等级,北京市平谷区镇罗营镇桃园村新村委会
北京市平谷区大华山镇西长峪村卫生室,17106764,平谷区,村卫生室,无等级,北京市平谷区大华山镇西长峪村委会院内57号
北京市平谷区大华山镇胜利村村卫生室,17106755,平谷区,村卫生室,无等级,北京市平谷区大华山镇胜利村10号
北京市平谷区大华山镇前北宫村卫生室,17106757,平谷区,村卫生室,无等级,北京市平谷区大华山镇前北宫村委会院内前北宫南大街1号
北京市平谷区金海湖镇茅山后村卫生室,17106795,平谷区,村卫生室,无等级,北京市平谷区金海湖镇茅山后村生态停车场院内
北京市平谷区金海湖镇水峪村卫生室,17106786,平谷区,村卫生室,无等级,北京市平谷区金海湖镇水峪大街125号
北京市平谷区金海湖镇东上营村卫生室,17106797,平谷区,村卫生室,无等级,北京市平谷区金海湖镇东上营南大街甲2号
北京市平谷区刘家店镇松棚村村卫生室,17106806,平谷区,村卫生室,无等级,北京市平谷区刘家店镇松棚村委会院内
北京市平谷区山东庄镇北寺村卫生室,17106723,平谷区,村卫生室,无等级,北京市平谷区山东庄镇北寺南街8号
北京市平谷区金海湖镇韩庄村卫生室,17106789,平谷区,村卫生室,无等级,北京市平谷区金海湖镇韩庄北街166号
北京市平谷区金海湖镇东马各庄村卫生室,17106799,平谷区,村卫生室,无等级,北京市平谷区金海湖镇东马各庄大街52号
北京市平谷区金海湖镇祖务村卫生室,17106794,平谷区,村卫生室,无等级,北京市平谷区金海湖镇祖务村北大街0号
北京市平谷区金海湖镇上堡子村卫生室,17106792,平谷区,村卫生室,无等级,北京市平谷区金海湖镇上堡子大街77号
北京市平谷区刘家店镇北店村卫生室,17106801,平谷区,村卫生室,无等级,北京市平谷区刘家店镇北店村委会西侧
北京市平谷区金海湖镇东土门村卫生室,17106787,平谷区,村卫生室,无等级,北京市平谷区金海湖镇东土门村西路15号
北京市平谷区刘家店镇孔城峪村卫生室,17106808,平谷区,村卫生室,无等级,北京市平谷区刘家店镇孔城峪中心街10号
北京市平谷区金海湖镇红石门村卫生室,17106800,平谷区,村卫生室,无等级,北京市平谷区金海湖镇红石门大街甲1号
北京市平谷区金海湖镇上宅村卫生室,17106796,平谷区,村卫生室,无等级,北京市平谷区金海湖镇上宅村原老小学院内
北京市平谷区山东庄镇桃棚村卫生室,17106724,平谷区,村卫生室,无等级,北京市平谷区山东庄镇桃棚村2号
北京市平谷区金海湖镇郭家屯村卫生室,17106788,平谷区,村卫生室,无等级,北京市平谷区金海湖镇郭家屯村南街199号
